src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,flow_bytes_per_sec,flow_packets_per_sec,flow_iat_mean,flow_iat_std,fin_count,syn_count,rst_count,psh_count,ack_count,urg_count,packet_length_mean,packet_length_std,label
192.168.210.77,10.0.110.69,42041,443,TCP,709.2553028566537,44,34,54680,42253,136668.69970458432,109.97450380115727,9.09301670329043,1.1641559985572634,0,2,1,1,44,1,1242.7307692307693,248.54783546037058,BENIGN
192.168.193.218,10.0.227.25,2281,995,TCP,107.01929314633753,83,11,91914,12181,972675.0844603424,878.3462984703606,1.1385031185780587,0.4801316814525604,1,2,0,2,83,0,1107.3936170212767,221.48079440171279,BENIGN
192.168.126.159,10.0.59.58,5771,995,TCP,803.2030244285423,94,17,33584,6073,49373.56906519981,138.19669077936248,7.236063283140021,1.0228262491933169,0,2,0,4,94,1,357.27027027027026,71.45733182766507,BENIGN
192.168.189.208,10.0.144.123,34817,80,UDP,270.364764819985,44,35,27463,21845,182375.83596675546,292.1978389181001,3.4223387951896833,1.343856070150657,0,0,0,4,44,0,624.1518987341772,124.83271033767736,BENIGN
192.168.70.195,10.0.186.99,30289,443,TCP,691.963996214675,50,19,31457,11953,62734.477859354505,99.71617075087448,10.02846371325616,4.874674305662016,1,2,1,1,50,0,629.1304347826087,125.82909252973383,BENIGN
192.168.72.32,10.0.57.166,61115,110,TCP,529.0556172360049,90,87,9452,9137,35136.19248032232,334.55839846237296,2.9890147866440953,1.160474577980595,0,0,1,2,90,1,105.0225988700565,21.0055675703358,BENIGN
192.168.239.105,10.0.82.67,41993,80,TCP,471.2352413686215,16,5,1737,543,4838.347814094152,44.563729866656665,22.439773398505785,4.397736950561845,1,1,1,3,16,1,108.57142857142857,21.722767006207857,BENIGN
192.168.169.146,10.0.22.66,2068,21,TCP,795.7827978813289,51,21,36393,14985,64562.84319890733,90.47694947879107,11.052538859462901,4.818990198939953,1,0,1,1,51,1,713.5833333333334,142.71973324412699,BENIGN
192.168.20.124,10.0.13.3,25561,3389,UDP,3.817228192314232,2667,0,4564145,0,1195669939.038395,698674.5003533848,0.0015068573278509587,0.0004565139361525262,1,2667,0,4,3202,0,1711.3404574428196,285.0809025481501,DDoS
192.168.95.108,10.0.74.39,8076,443,UDP,539.6221153985792,16,9,15047,8463,43567.52499410608,46.328716497348026,21.58488461594317,4.512311501342371,1,1,0,2,16,0,940.4,188.08786256689575,BENIGN
192.168.58.237,10.0.133.121,34764,80,ICMP,7.79446180142496,8394,0,1498820,0,192292943.14149955,1076918.485695245,0.0033513854285137745,0.0006092876871565302,0,8394,1,4,1292,1,178.55849416249703,232.01550662634733,DDoS
192.168.246.220,10.0.113.114,12509,143,TCP,799.9822400521952,62,31,45655,22827,85604.40041210398,116.25258079970897,8.601959570453712,2.8814968183009007,0,1,0,1,62,1,736.3655913978495,147.27618112836416,BENIGN
192.168.240.253,10.0.39.156,51357,21,UDP,322.2202905654735,78,43,116570,64263,561209.2264042437,375.519492542365,2.6629776079791196,0.5994267965995543,0,1,0,1,78,1,1494.4876033057851,298.89821267849965,BENIGN
192.168.10.107,10.0.87.67,17469,22,ICMP,75.54134588068008,37,18,49695,24175,977875.0846811755,728.0781055565811,1.373479016012365,0.6414245722480879,0,1,0,2,37,0,1343.090909090909,268.62213397924,Malware
192.168.86.214,10.0.118.64,33291,143,UDP,143.1802373662927,345,195,25297,14298,276539.5611037128,3771.470210784314,0.2651485877153568,0.08728988052227675,1,2,0,1,345,0,73.32407407407408,14.665368594986468,BruteForce
192.168.188.178,10.0.27.120,49432,143,UDP,57.14914570342583,937,0,93942,56848,2638534.6297654426,16395.695656808937,0.04159326470409449,0.019542559115997463,1,937,0,3,856,1,160.92849519743862,21.9492621981163,PortScan
192.168.38.127,10.0.19.164,8634,80,UDP,63.46376944710289,61,49,68088,54694,1934678.6531855615,1733.2724002737516,0.5769433586100263,0.21297787201880614,1,1,1,1,61,1,1116.2,223.24105395858666,BENIGN
192.168.82.177,10.0.155.134,11081,995,ICMP,53.49605933819651,502,0,555746,422059,18278075.28435728,9383.868759872728,0.038293528516962425,0.014907356010663576,0,502,0,3,794,0,1947.8187250996016,139.98657671488053,PortScan
192.168.221.123,10.0.187.6,59292,993,TCP,978.0154303144964,68,20,17954,5280,23756.271404152325,89.97813047970236,11.113811708119277,4.975082759842364,0,2,0,1,68,1,264.02272727272725,52.80600919771936,BENIGN
192.168.207.63,10.0.247.167,41484,993,TCP,715.471268325461,53,33,38282,23836,86821.09645770307,120.2004941460199,8.319433352621639,2.743042217742846,0,0,0,1,53,0,722.3023255813954,144.461505010549,BENIGN
192.168.165.207,10.0.29.114,21098,21,ICMP,110.96368642087613,63,10,76612,12160,800009.4703351429,657.8728803503968,1.5200504989161114,0.5943618935679406,0,2,0,2,63,0,1216.054794520548,243.2130058207556,BENIGN
192.168.144.69,10.0.249.244,31292,53,ICMP,637.9157112057595,20,15,6399,4799,17554.043274516698,54.866182765501385,18.226163177307416,9.048389148017755,1,2,0,0,20,1,319.9428571428571,63.994108495013066,BENIGN
192.168.87.104,10.0.123.206,38734,53,TCP,343.3881945024793,32,14,6386,2794,26733.59232195072,133.95917721238922,7.464960750053898,3.4888167168393114,1,0,0,2,32,1,199.56521739130434,39.91710740809013,BENIGN
192.168.134.46,10.0.50.166,1129,110,UDP,448.63740179579344,18,17,2592,2448,11234.016557304467,78.0140038701699,12.818211479879812,3.883352872623214,1,0,0,1,18,0,144.0,28.805077493322745,BENIGN
192.168.65.55,10.0.45.207,32729,143,UDP,741.240269024304,93,37,116665,46415,220009.6336032344,175.38172901901197,5.701848223263877,2.440419843285644,0,1,1,2,93,0,1254.4615384615386,250.89389278706506,BENIGN
192.168.17.196,10.0.175.25,10845,25,TCP,633.0791668698523,55,9,14507,2373,26663.33198651942,101.0932018446234,9.891861982341442,4.453360685053725,0,0,1,3,55,0,263.75,52.75407180152033,BENIGN
192.168.67.56,10.0.40.98,7207,443,TCP,220.96301874786153,77,27,13345,4679,81570.21071732817,470.66699481813856,2.12464441103713,0.6332685616095873,1,1,0,2,77,1,173.30769230769232,34.66478284561421,BENIGN
192.168.22.31,10.0.135.105,38036,25,UDP,76.93424046809618,23,16,8224,5721,181258.69463523003,506.92643175145,1.9726728325152867,0.6865150863585807,0,1,0,3,23,0,357.56410256410254,71.51958554365079,Malware
192.168.232.39,10.0.196.35,48946,995,ICMP,4383.639186765973,719,436,955824,0,218043.49292377746,263.4797141806054,2.164455634184751,0.6227773452344362,1,1,0,1,719,1,827.5532467532468,168.50189267273106,DataExfiltration
192.168.34.189,10.0.220.155,7719,995,UDP,203.4683607719655,239,206,98463,84867,901024.607975609,2187.072222490296,0.4572322713976753,0.08798775224473926,0,1,1,2,239,1,411.97752808988764,82.39594972674352,BruteForce
192.168.142.165,10.0.112.207,47854,80,UDP,833.8103664646972,24,16,32528,21685,65018.38089379923,47.972538611623946,20.845259161617427,5.787604880498405,1,0,1,1,24,1,1355.325,271.0675750831709,BENIGN
192.168.175.49,10.0.227.108,18657,995,ICMP,256.389352811463,68,49,75826,54639,508854.98391166807,456.3372024501986,2.1913619898415644,0.9287254863986868,0,1,0,1,68,0,1115.08547008547,223.01835701059423,BENIGN
192.168.66.10,10.0.126.214,65228,143,ICMP,638.501762613753,77,38,52154,25738,121991.83238139152,180.1091347488834,5.552189240119592,2.6597732762204433,0,0,1,3,77,0,677.3217391304348,135.46669461163276,BENIGN
192.168.191.99,10.0.35.159,53659,443,UDP,725.6010643451423,21,6,30729,8779,54448.652215878596,37.210529761788045,26.874113494264527,3.3891133459779494,0,2,1,2,21,0,1463.2592592592594,292.65897001537013,BENIGN
192.168.81.237,10.0.87.142,19772,143,TCP,756.5779353133038,16,10,22260,13912,47810.01178024171,34.365263360784155,29.09915135820399,4.397168720331557,0,2,1,3,16,1,1391.2307692307693,278.25524673222674,BENIGN
